#yft_recapture 
#nrecapture 
972 
#nsite 
#6 
#size liberty
95 12
48 13
88 13
89 13
90 13
91 13
93 13
94 13
95 13
95 13
95 13
95 13
95 13
96 13
96 13
98 13
99 13
99 13
102 13
54 9
53 10
54 10
59 10
61 11
58 70
54 76
93 76
60 105
56 162
58 166
54 183
58 202
54 270
97 181
90 186
80 215
66 1
76 1
52 3
73 3
75 6
71 8
77 8
58 9
65 9
67 9
69 10
91 10
60 12
71 12
79 12
83 12
45 14
53 14
53 15
74 15
73 16
62 21
72 22
68 24
80 24
72 25
77 25
59 26
67 26
63 41
64 43
46 280
50 76
71 11
73 12
78 40
42 45
67 77
58 78
50 266
44 70
56 139
43 191
75 207
50 310
51 422
44 566
65 50
52 260
52 13
56 14
56 14
57 14
59 14
64 16
65 16
73 30
52 47
58 108
66 96
57 65
65 66
52 97
54 111
57 374
56 1
62 1
88 1
42 1
45 1
47 1
47 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
48 1
49 1
49 1
51 1
51 1
55 1
57 1
57 1
59 1
64 1
69 1
80 1
46 2
47 2
47 2
47 2
47 2
47 2
47 2
47 2
47 2
47 2
47 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
48 2
49 2
49 2
49 2
49 2
49 2
49 2
49 2
49 2
49 2
49 2
49 2
49 2
50 2
50 2
50 2
50 2
50 2
51 2
51 2
52 2
52 2
52 2
52 2
52 2
52 2
53 2
56 2
56 2
57 2
58 2
61 2
66 2
67 2
74 2
76 2
78 2
55 3
56 3
56 3
60 3
61 3
66 3
76 3
76 3
77 3
79 3
47 4
54 4
55 4
60 4
64 4
75 4
81 4
58 5
60 5
63 5
80 5
56 6
58 6
58 6
60 6
67 6
68 6
90 6
90 6
57 7
58 7
58 7
59 7
59 7
60 7
61 7
62 7
76 7
90 7
44 8
45 8
54 8
57 8
57 8
57 8
58 8
59 8
60 8
63 8
63 8
63 8
70 8
76 8
76 8
80 8
45 9
55 9
56 9
57 9
58 9
64 9
66 9
33 10
52 10
57 10
58 10
59 10
60 10
60 10
62 10
86 10
91 10
59 11
61 11
67 11
70 11
46 12
47 12
49 12
50 12
50 12
51 12
53 12
57 12
58 12
58 12
59 12
60 12
63 12
68 12
46 13
47 13
48 13
50 13
51 13
54 13
58 13
60 13
62 13
80 13
48 14
48 14
49 14
51 14
57 14
57 14
58 14
61 14
48 15
53 15
53 15
54 15
54 15
55 15
55 15
68 15
51 16
52 16
52 16
59 16
92 16
46 17
48 17
57 17
44 18
46 18
47 18
47 18
48 18
48 18
48 18
48 18
48 18
48 18
48 18
48 18
48 18
48 18
48 18
48 18
50 18
54 18
46 19
47 19
47 19
47 19
47 19
47 19
48 19
48 19
48 19
48 19
48 19
48 19
48 19
48 19
48 19
48 19
48 19
48 19
48 19
48 19
49 19
49 19
49 19
49 19
50 19
50 19
50 19
50 19
52 19
52 19
52 19
55 19
56 19
56 19
59 19
60 19
71 19
45 20
47 20
47 20
47 20
47 20
48 20
48 20
48 20
48 20
48 20
48 20
48 20
49 20
49 20
49 20
49 20
49 20
50 20
50 20
51 20
51 20
52 20
55 20
55 20
55 20
56 20
56 20
57 20
57 20
58 20
60 20
84 20
46 21
47 21
47 21
48 21
48 21
48 21
48 21
48 21
48 21
48 21
48 21
48 21
48 21
48 21
48 21
48 21
49 21
49 21
49 21
50 21
62 21
63 21
85 21
47 22
47 22
47 22
48 22
49 22
49 22
49 22
50 22
50 22
52 22
53 22
54 22
56 22
56 22
57 22
57 22
58 22
60 22
61 22
43 23
52 23
59 23
60 23
60 23
65 23
68 23
73 23
46 24
46 24
46 24
46 24
48 24
59 24
61 24
68 24
44 25
46 25
47 25
48 25
50 25
50 25
50 25
50 25
50 25
51 25
52 25
53 25
55 25
57 25
58 25
58 25
65 25
46 26
48 26
48 26
48 26
48 26
48 26
48 26
48 26
49 26
49 26
50 26
50 26
53 26
54 26
61 26
65 26
73 26
44 27
48 27
49 27
77 27
59 28
60 28
62 28
64 28
48 29
49 29
56 29
61 29
61 29
62 29
68 29
46 30
48 30
49 30
50 30
52 30
55 30
65 30
47 31
48 31
62 31
66 31
46 32
48 32
50 32
50 32
54 32
57 32
59 32
75 32
42 33
42 33
45 33
46 33
48 33
49 33
52 33
55 33
69 33
48 34
50 34
52 34
54 34
55 34
88 34
50 35
54 35
58 35
43 36
58 36
61 36
48 37
49 38
49 38
54 39
108 39
48 40
103 40
58 41
58 41
62 41
47 42
52 42
53 42
56 42
57 42
58 42
58 42
48 43
51 43
56 43
59 43
63 43
75 43
47 44
48 44
49 44
50 44
51 44
51 44
67 44
62 46
75 46
54 47
54 48
56 48
59 49
60 49
49 50
54 50
53 51
54 51
57 51
58 51
47 53
57 53
59 53
63 53
45 54
61 54
59 55
63 55
60 57
61 57
42 58
48 59
48 59
48 59
46 60
48 60
54 60
49 61
79 61
54 62
38 63
33 64
51 65
51 65
60 66
45 67
47 68
57 68
81 71
50 73
54 74
71 74
47 77
48 77
49 78
50 79
64 83
53 84
46 88
54 88
50 89
45 93
47 93
49 93
50 93
52 93
54 93
45 94
48 94
49 94
45 95
47 95
53 95
56 97
49 98
45 104
50 105
55 107
50 112
77 112
45 113
47 113
47 115
47 115
48 115
52 115
89 115
50 116
50 117
48 119
49 120
74 129
75 129
79 129
56 130
48 132
42 134
41 135
53 139
49 140
52 140
53 142
53 151
48 152
45 156
47 164
46 199
56 205
49 213
64 250
46 257
78 276
44 297
49 306
75 319
79 322
63 323
42 338
40 456
71 469
50 1333
52 1
50 33
66 37
56 37
82 44
47 46
53 48
59 52
56 52
50 60
46 64
59 69
45 70
55 72
53 76
55 78
44 78
47 86
43 87
48 88
57 95
57 131
40 133
72 162
51 163
50 163
45 169
51 170
59 213
45 252
67 255
53 256
47 350
50 353
60 373
46 459
45 468
43 509
58 84
56 86
60 86
54 92
61 243
60 348
36 234
68 78
38 108
38 220
39 268
46 1
46 1
48 1
35 2
41 2
43 2
44 2
47 2
48 2
48 2
46 3
65 4
38 4
38 4
44 4
44 4
46 4
41 6
45 6
45 6
48 6
49 6
48 7
50 7
43 7
45 7
47 7
70 8
42 8
43 8
44 8
44 8
45 8
47 8
48 8
42 9
45 9
